Time;i-0d447a86fef98bd21;i-0758f888b8422cb11;i-0e4ba6d92c42de63e
2025/11/05 12:10:00;6.102700932688322;9.61639698992485;10.49560553829954
2025/11/05 12:15:00;4.060928070008122;6.395353444361598;7.7201231224482685
2025/11/05 12:20:00;4.973874298314465;6.470342502219646;6.761953063181487
2025/11/05 12:25:00;4.659220610503878;8.482109800871793;9.040038785333632
2025/11/05 12:30:00;6.0687240433461245;8.391442142695675;8.948783341337384
2025/11/05 12:35:00;7.319608769789582;7.5441022136759415;8.971594438811247
2025/11/05 12:40:00;8.580726477722552;10.822960738950302;11.19979434929345
2025/11/05 12:45:00;5.072259754734786;7.714244227476587;9.104499590510928
2025/11/05 12:50:00;6.454389047859219;8.359069571794677;8.333741470079252
2025/11/05 12:55:00;6.469026343782592;9.699869214021453;10.895100835155754
2025/11/05 13:00:00;7.018822704714024;10.81510301488488;9.94932358217267
2025/11/05 13:05:00;6.041011730809336;8.992003428912671;10.178041236817029
2025/11/05 13:10:00;7.445855109748817;10.298944503755063;11.167817850742718
2025/11/05 13:15:00;7.738711619750363;11.032313795495208;12.174594182184208
2025/11/05 13:20:00;9.260345257337807;11.813784759537985;12.166305793260799
2025/11/05 13:25:00;6.641050170581821;9.044897636942247;9.684663936043105
2025/11/05 13:30:00;4.864052366950756;4.9042033237332525;5.601775461694355
2025/11/05 13:35:00;4.826332254482653;7.8927579077980585;8.611020783750375
2025/11/05 13:40:00;5.3084897368091095;7.442655944156961;7.413477791647722
2025/11/05 13:45:00;4.525615184172385;7.984202011672916;7.816018390058703
2025/11/05 13:50:00;6.528474996545934;8.050719414593177;9.15336537293091
2025/11/05 13:55:00;5.559653590150974;7.7047294959727735;8.170168215786692
2025/11/05 14:00:00;6.233540806905308;8.09549162367836;9.234470557232818
2025/11/05 14:05:00;5.472603985732443;8.316983124528518;9.49567698016221
2025/11/05 14:10:00;5.574856220682696;7.434874251804094;7.706417567135725
2025/11/05 14:15:00;4.659365883580003;6.227736984148167;6.9263387245794235
2025/11/05 14:20:00;4.765186252152767;6.8359792267379165;7.336403891767101
2025/11/05 14:25:00;5.807548409599812;8.37947435160893;9.238588562496227
2025/11/05 14:30:00;6.031504433426094;8.825731138084445;10.038464730165133
2025/11/05 14:35:00;6.700367849825206;8.603040556996678;9.984084211285937
2025/11/05 14:40:00;10.051470546151876;10.32249122668085;10.116755931424354
2025/11/05 14:45:00;7.291538672102679;9.596698541937977;10.598963786040333
2025/11/05 14:50:00;6.642199197023307;8.453304746751702;9.410898934945731
2025/11/05 14:55:00;6.367542350531385;9.720238789186737;10.475891570287509
2025/11/05 15:00:00;5.296655289873025;8.594258568883815;10.392447242170318
2025/11/05 15:05:00;4.771223562440713;7.118142756857464;7.897779853542984
