Time,i-06bb8ab1030f079de (SIL-IISA01P11),i-0b299dc18487f43dd (SIL-IISA01P12),i-035d6884fb647637a (SIL-IISA01P13),i-0f407909e6ccba027 (SIL-IISA01P14),i-04f710d1703a9b400 (SIL-IISA01P15),i-022e80d50209ad2e7 (SIL-IISA01P16),i-096bd3d58e691b904 (SIL-IISA01P17),i-0d98f68bf4868f54f (SIL-IISA01P18)
2025/11/07 08:30:00,9.052246366883509,7.964291853276713,6.645427641934266,6.352156542865891,5.393553886893063,31.63991112590175,10.757288942422582,11.413986052939169
2025/11/07 08:35:00,12.59531936597121,9.498855282415919,7.80432471452129,5.986867717070611,5.91435525764202,30.536782729764866,9.389920906460642,9.637391089216749
2025/11/07 08:40:00,9.851644190315012,9.987755705329805,6.874327196190071,6.208812567801486,5.4500379001912815,31.800403280417537,10.502300882971355,10.369079640965145
2025/11/07 08:45:00,10.975934061086495,10.307100493797655,6.553333887063315,5.827791103792374,6.251149053098645,30.613051921137888,10.876764733006933,13.624990542786275
2025/11/07 08:50:00,13.16992191739443,9.24187864639054,7.369333909712334,7.084566203659058,5.63146710148663,31.646206084440518,13.14837198464394,12.513253255827077
2025/11/07 08:55:00,12.741712579017516,13.44976022204826,8.918307491222999,6.431713226847359,5.895848761664557,30.746969348044967,11.483752715572692,12.420860321571759
2025/11/07 09:00:00,17.325974437964323,14.109307309572959,8.645233704268964,7.577124715666187,6.144171632363264,33.502525646021795,13.39789973218385,15.080862886272214
2025/11/07 09:05:00,16.356851537814496,16.184637175008774,7.99675695021201,8.250526004657365,6.438668466558693,31.981781640243344,15.957849780800771,20.503592061895034
2025/11/07 09:10:00,17.459633818404676,17.218473818990773,8.287729121116168,11.807238011187263,5.999250615531357,32.31596101788415,17.999093162214603,20.80400037859986
2025/11/07 09:15:00,21.80881118262155,16.903574773572355,8.748601737638703,13.473466979662854,7.1701621059049305,31.705714133809266,20.53267487001871,26.259832660681163
2025/11/07 09:20:00,20.857188733315525,19.609648670268975,7.981667923676551,11.22537258330831,6.293229875024795,32.86513223903363,21.7262298067933,26.887430006588488
2025/11/07 09:25:00,19.301938007112636,16.405552265241944,8.641336488342835,7.570429813440815,6.1495060019419485,31.636509376283225,22.650767006969215,27.241554826878463
2025/11/07 09:30:00,20.59872216809483,18.831577643384414,8.038270050937802,6.593809061047503,5.620164425834098,30.98087493587888,21.6826924493017,28.555278202059405
2025/11/07 09:35:00,17.956185703029476,21.487101833386056,8.257932955244772,7.022826945766776,6.047546814722608,31.215851705914993,24.022257637867916,26.15495205158344
2025/11/07 09:40:00,19.895154539415934,20.744358490974406,9.23013855199698,7.485393142639526,6.034575292374653,32.01875661650699,22.878709660671383,23.323811532395023
2025/11/07 09:45:00,19.642235872515204,20.190150472315473,7.080066333997945,6.0815690090528065,6.025770311883354,30.98234310180833,24.857489714438977,19.73417343383367
2025/11/07 09:50:00,19.2849099545904,20.43303986833873,7.4589486123851785,7.086742948343513,5.769254418418646,31.41147954210021,28.9983463252707,24.261371436518434
2025/11/07 09:55:00,21.548382880774977,24.58115477959659,7.468779923043018,6.643024183490499,5.923689612897431,31.6634829761583,24.67278213787417,23.21689861063473
2025/11/07 10:00:00,25.7059139538406,21.89783024173052,7.708333288277686,6.92684508045758,5.916156198611385,31.504888346334486,25.261744320057396,26.18650503374991
2025/11/07 10:05:00,21.224486541915894,22.0085615732661,7.670383524855396,6.40671092169458,6.4919199062142,31.159866573969133,28.690778022913328,28.356221509735384
2025/11/07 10:10:00,25.673553908802894,26.94588946540248,8.172935632356609,6.551472043584482,5.924241719250564,40.45709397930022,31.24387008580241,26.41796453451845
2025/11/07 10:15:00,30.14206288242833,26.26637207023544,8.369401142789346,6.336509752145409,6.351888136546331,31.237552399480442,30.016848317604353,34.44098787576577
2025/11/07 10:20:00,29.097442025220754,23.47387703657342,6.835818182637071,6.03188487549591,5.6147079413408605,31.756672680539282,29.58585012459603,34.64039599975721
2025/11/07 10:25:00,23.383837040656346,29.931522541738296,7.236234539964213,7.017071299722704,5.784540957764593,31.971764071630183,31.672991778894385,28.40921777269416
2025/11/07 10:30:00,27.68785905317564,28.97430501429121,8.52140882248894,6.392915012962742,5.965088151611625,31.654341860944236,29.748661118236203,28.114647295934184
2025/11/07 10:35:00,25.97108245110673,29.586329824335763,7.90970176370738,6.3304274064041035,5.97515926613309,31.716675760142476,31.09795431890323,25.67953283630349
2025/11/07 10:40:00,22.60442738215317,27.064028990755652,7.718967693906782,6.401661881926017,5.853586241894923,30.711720191095747,32.110457323442006,26.7168040692281
2025/11/07 10:45:00,23.78577227509426,24.58803191402486,7.993640005391777,6.991247647801851,5.681375081297264,30.83410114600404,30.011155733878024,28.088542223307844
2025/11/07 10:50:00,23.422326573552915,22.78943362912734,7.80203585232884,7.233841118585144,6.727828460606991,31.27625032696064,28.985327806696823,24.941383403484743
2025/11/07 10:55:00,23.219857575443626,23.256125002025744,7.656804891736596,6.893083557935353,7.388266145926513,33.40292131895523,27.162225189865904,21.79352936618549
2025/11/07 11:00:00,29.524297846429086,24.255278046956853,7.631334792355508,6.34184495294747,6.6265251291044365,31.512852723692255,26.894048584071662,26.96557874756585
2025/11/07 11:05:00,24.058990047719366,22.89311073473453,6.735750278226457,5.926052350536275,6.081272568671672,38.68331765930733,29.65609947063436,24.718856784483982
2025/11/07 11:10:00,27.25899272234305,24.680972781299108,8.029229665418743,7.9946059092280395,15.609462312947752,40.05540869767648,31.090917960912407,29.067758198137785
