Id,metric_alias_metrics_view_graph_4,metric_alias_metrics_view_graph_5
StatusCode,Complete,Complete
Messages,,
Full label,eu-south-1:EC2CustomMetrics InstanceId:i-007cedaa59161cb76 mem_used_percent Average 300,eu-south-1:EC2CustomMetrics InstanceId:i-07c71afee5b3ae140 mem_used_percent Average 300
Label,i-007cedaa59161cb76,i-07c71afee5b3ae140
2025/11/07 08:30:00,15.11019462169735,16.149812920679363
2025/11/07 08:35:00,15.171514605595124,16.232944892560173
2025/11/07 08:40:00,15.222202736581147,16.155781523239188
2025/11/07 08:45:00,15.202832237930306,16.16028537692373
2025/11/07 08:50:00,15.076475605527367,16.020865198264225
2025/11/07 08:55:00,15.155482130117141,16.181040968129256
2025/11/07 09:00:00,15.124423568237166,16.08606146963137
2025/11/07 09:05:00,15.378601577539786,16.035203794397084
2025/11/07 09:10:00,15.207017222206721,15.916120707264458
2025/11/07 09:15:00,15.405445262398512,16.055341600362702
2025/11/07 09:20:00,15.094490966412511,16.030640155044168
2025/11/07 09:25:00,15.24241023208727,15.9959445388283
2025/11/07 09:30:00,15.096154995874802,16.21392308573763
2025/11/07 09:35:00,15.063571904008418,16.143515496943458
2025/11/07 09:40:00,15.144710777729506,16.10633877548987
2025/11/07 09:45:00,15.21042499511752,16.12215208477608
2025/11/07 09:50:00,15.101715046413469,16.041730396528443
2025/11/07 09:55:00,15.148905726254199,16.159159413502596
2025/11/07 10:00:00,15.046443361219943,16.055730207207162
2025/11/07 10:05:00,15.241363986018166,16.21677286926369
2025/11/07 10:10:00,15.168555223856803,16.04627410732524
2025/11/07 10:15:00,15.179167148272,16.114280305106195
2025/11/07 10:20:00,15.118524733257075,16.014816881479895
2025/11/07 10:25:00,15.178519472133981,16.05578002859748
2025/11/07 10:30:00,15.07774106505857,16.04853599844557
2025/11/07 10:35:00,15.082165191293637,16.09299660716332
2025/11/07 10:40:00,15.101087298772006,16.08382947134523
2025/11/07 10:45:00,15.222521592526016,16.03829272059666
2025/11/07 10:50:00,15.099702268261478,15.828514774533298
2025/11/07 10:55:00,15.210494744855458,15.85301693429057
2025/11/07 11:00:00,15.098835378661363,16.002590712296417
2025/11/07 11:05:00,15.290826514466096,15.965971990414365
2025/11/07 11:10:00,15.188942075831914,15.752547118579892
2025/11/07 11:15:00,15.225172082567747,15.977699945694685
2025/11/07 11:20:00,15.133770033121161,16.048077641654665
2025/11/07 11:25:00,15.157504872517407,16.02381462457091
